Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.198062496683221,4.0235407749040615,-0.04180136058981395,159.88179234436842
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.30303461266973,3.669680809558228,0.027289792134938682,160.0703083058191
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.189174532925776,3.8084299043287397,-0.2331583844642335,158.26802283994195
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.190872312955388,4.199545196263406,-0.048726629114606235,157.99787493084636
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.254727032943682,4.049986364006137,-0.021297660338713314,158.30914515499214
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.209841723398052,3.940711902992276,-0.10842623317164113,157.81521193290416
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.224908112271919,4.340086120045333,-0.048808826454807934,158.08727546892294
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,8.260936395304839,4.3381170897469294,-0.04865063302336278,158.22605233285847
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,8.272147182436807,4.071577810725948,-0.04869135269209615,158.30993123901644
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,8.19059448921976,4.386571090348952,-0.053684255521874044,156.98350711203886
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,8.208619194692208,4.450061600188486,-0.06482146809601133,157.0104815855591
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,8.261706416325914,4.0871505243775665,-0.033089312370541434,157.35620413132526
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,8.190597995440188,4.386572976559745,-0.05368431986001163,156.98350711204006
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,8.208615980385762,4.450062042930488,-0.06482151863448654,157.01048158556864
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,8.26171047861459,4.087149794172614,-0.03308916179015359,157.35620413133017
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,8.19059356563663,4.386571511488474,-0.053684245003082116,156.98350711204012
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,8.208625560104494,4.450060599890758,-0.06482146333674851,157.01048158555983
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,8.261709403324788,4.087150741901218,-0.03308922210311687,157.35620413132798
805,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,8.19059522483946,4.386571029758467,-0.053684221931775813,156.98350711203784
805,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,8.208622031220797,4.450060241485398,-0.06482142866119361,157.01048158555523
805,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,8.261707525316082,4.087150561231224,-0.03308921088638155,157.3562041313254
805,forage_phonologicaldynamicglobal_norms_associative,8.632474287024747,4.082472653513169,-0.02839698843293965,162.2422347853359
805,forage_phonologicaldynamiclocal_norms_associative,8.532468413477847,4.907857492140371,-0.17648300114572707,160.48050332408351
805,forage_phonologicaldynamicswitch_norms_associative,8.724425567316272,3.93231179252934,0.0841024175702247,161.76405905306675
805,forage_phonologicaldynamicglobal_norms_categorical,8.550676383029566,4.082435675593014,-0.026145702673210564,163.01162987226613
805,forage_phonologicaldynamiclocal_norms_categorical,8.46035631629609,4.848695761832867,-0.1622823531138804,161.61048446251476
805,forage_phonologicaldynamicswitch_norms_categorical,8.630036098432653,3.942651757545873,0.06449244507450526,162.73634473162113
805,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,8.354093841373043,4.489179523576491,-0.045324651303397086,158.9821538890526
805,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,8.350414909831729,5.000196999045839,-0.12965118173028162,158.0528892042991
805,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,8.461609099235982,4.232139684836531,0.04016911550120881,159.16552479697285
805,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,8.270798947160726,4.4629995759988255,-0.04918446220824838,158.30518137234515
805,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,8.254595813299522,5.039564002860456,-0.14355171814558854,157.0888192823764
805,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,8.402144749705073,4.181755806287452,0.057732825681822836,158.42637587688742
805,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,8.208209793258087,4.371199752740131,-0.04691176935571918,157.98278152021803
805,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,8.207206870541132,4.704178193718658,-0.10464937263679742,157.33576344327545
805,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,8.331715496180717,4.112648401568531,0.03929917998090182,158.21685040127147
805,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,8.194504903305202,4.294893395441666,-0.05070550953295415,157.1899145488594
805,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,8.164152167248963,4.707364061362132,-0.1222058972943817,156.13414035865165
805,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,8.362266219626212,4.0152660548852666,0.08638384291976951,157.1812324842403
805,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,8.182315068495125,4.110788748523597,-0.04667500115203623,158.1424815939047
805,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,8.126248236218995,4.536822394476211,-0.12327547547163874,156.91659504887002
805,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,8.373761666771228,3.860141445190822,0.13022992669471178,157.6856872149697
805,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,8.35409234975408,4.4891794292599645,-0.045324641358959514,158.98215388905106
805,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,8.35041906236242,5.0001975119093665,-0.12965119594821928,158.05288920430053
