animals,occupations,things at the beach,things in a classroom,things you rescue from a burning home,excuses for being late
0.026198177,0.026125276,-0.031577513,-0.06043359,-0.0024591044,-0.049815457
0.019188281,0.023404444,0.0145583525,0.046437375,-0.029314278,-0.04611068
-0.028984975,-0.06647068,0.0055864844,0.00059983786,0.06629903,0.032711945
0.043452207,-0.07800872,-0.023568036,0.019000188,-0.04204429,-0.043064274
-0.0016930737,-0.0477073,-0.051801145,-0.05451365,-0.040033802,-0.03910561
0.06329975,0.0073481714,-0.056200773,-0.009209117,-1.0480825e-06,0.017336613
0.047631625,0.011573799,-0.021892328,0.0293003,-0.0034967556,0.008815879
-0.08159195,-0.07484045,-0.07389355,-0.07604321,-0.013236834,-0.018518863
0.03637146,-0.001639966,0.0035753665,-0.01784221,-0.011786597,0.024048772
0.06955515,-0.033633463,0.075271904,0.07683828,-0.015572734,-0.018368114
0.06302619,0.047085807,-0.0071665505,-0.00943419,-0.06579099,-0.007389248
0.009158422,0.043474156,0.047404185,-0.04280268,-0.030705007,-0.048073366
-0.018187808,-0.035496786,0.09745316,0.10423179,0.10156989,0.042807158
0.033928066,0.039459124,0.0016436887,-0.0018710877,0.038038597,0.014459287
0.08595826,0.08883362,0.09187622,0.09394268,0.09803337,0.07262469
0.026650166,0.041719984,0.04992871,0.01605287,-0.0092237005,-0.064344734
-0.0017940163,-0.023508262,0.020684732,-0.005393838,-0.043145604,0.0030359544
0.06637637,-0.010669073,0.045449577,0.03875654,-0.06538818,0.06823702
0.005574198,-0.015217635,0.013290258,-0.0031021712,0.024238998,0.024829127
-0.063827485,-0.07681806,-0.02914662,-0.019268626,0.009410069,-0.025170488
-0.017139504,0.04064705,0.040961523,0.059315354,0.028618494,-0.06604021
0.056128263,0.04238968,-0.02166322,-0.05547154,-0.026644444,0.06841351
-0.04647817,-0.07575722,0.024356434,-0.036872078,-0.05439802,0.01405066
0.029320508,0.056362048,0.08246209,0.08637355,0.08454294,0.043869555
-0.00893645,0.022566747,0.024303403,0.02605232,-0.019412037,-0.030920615
0.015470309,-0.02191052,0.013178394,-0.044445917,-0.012854131,0.0005178017
-0.026788268,0.02347285,0.05225987,0.07153273,0.059354123,0.077856846
-0.024245184,0.0051184683,-0.04488046,-0.011595113,-0.00341222,-0.044979963
0.038672224,0.059495177,0.034068316,0.08090075,0.07924102,0.050618697
0.01059586,0.043654326,0.07868632,0.09839586,0.096112855,0.07553572
-0.05605003,0.00010158638,-0.024534572,-0.026906472,-0.026453119,-0.04964652
0.056742143,0.059564907,0.051325135,0.014130256,0.053989675,0.05869707
0.026025567,-0.044521507,0.071787916,0.026780197,0.008482234,0.04349666
-0.059351772,0.01149746,-0.08529794,-0.074222006,-0.06419556,-0.055873048
-0.03487602,0.023961361,-0.008286598,0.04855721,-0.042096484,-0.07129008
0.00058881525,0.07232425,0.0030661477,0.007888128,0.045835067,0.029772863
-0.01911831,0.0014985726,0.043237183,0.032613583,0.035099484,-0.070248365
-0.0066255694,0.01169357,-0.049948566,-0.03656918,-0.026917543,0.03276287
-0.03553684,0.027590424,0.011758464,-0.012648197,-0.09554003,-0.05368165
-0.02698434,0.0070112194,-0.03731977,0.038270373,-0.06344017,0.049114596
-0.061661422,0.026540121,0.028284896,0.027085144,0.03855797,-0.02148221
-0.035835147,-0.042798545,-0.0053559006,-0.009224595,0.04101232,-0.043848503
-0.02597774,-0.06298555,-0.0026732583,0.034484886,0.03807526,0.04230063
0.08336022,0.08850292,0.090767294,0.098919414,0.0818866,-0.05063201
-0.053632934,-0.061714526,0.07550905,0.08053623,-0.034220334,-0.019040748
0.039042786,0.033495206,0.051328257,-0.017674144,-0.0063200505,-0.06892675
-0.061996214,-0.0426499,0.0043333443,-0.014811894,-0.021518104,-0.06445266
6.0230595e-05,0.0075067873,0.024226626,0.006362355,0.009556519,-0.011807369
0.059427768,0.031027215,0.009908724,0.062713064,0.0007594658,0.006013182
0.054458346,0.043366224,0.054083057,-0.005583389,-0.040361322,0.041312747
0.07267415,-0.024029108,0.026894292,0.07051037,0.009661577,0.013843848
0.07612532,0.043015327,0.037639104,0.04388949,-0.094857015,-0.053126838
-0.05124228,-0.06504953,-0.048257295,-0.07580719,-0.04819976,-0.06887655
0.056929085,-0.051096875,0.012690569,0.014004675,0.04759981,-0.0518837
-0.057301197,-0.05736628,0.04042711,0.0045269895,0.0029484814,0.073295735
0.06628944,0.059312344,0.015428269,-0.00023863216,-0.008223923,-0.036549367
