subject	dataset	total_responses	total_unique_responses	repeats	mean_overall_semantic_sim	mean_overall_phonetic_sim	mean_frequency	mean_cluster_semantic_sim_troyerF	mean_switch_semantic_sim_troyerF	mean_cluster_phon_sim_troyerF	mean_switch_phon_sim_troyerF	pc_switches_troyerF	switch_count_troyerF	mean_cluster_size_with_singletons_troyerF	pc_clustered_responses_no_singletons_by_total_troyerF	mean_cluster_semantic_sim_delta	mean_switch_semantic_sim_delta	mean_cluster_phon_sim_delta	mean_switch_phon_sim_delta	pc_switches_delta	switch_count_delta	mean_cluster_size_with_singletons_delta	pc_clustered_responses_no_singletons_by_total_delta
18	subject_switch_lexical_results_v1	19	19	0	0.456605	0.034011	3.904211	0.494755	0.380304	0.023900	0.054233	33.333333	6	2.714286	88.888889	0.499795	0.413415	0.038178	0.029844	50.000000	9	1.900000	72.222222
19	subject_switch_lexical_results_v1	31	31	0	0.436462	0.139567	3.655806	0.485092	0.363518	0.101778	0.196250	40.000000	12	2.384615	90.000000	0.511734	0.370599	0.088921	0.183881	53.333333	16	1.823529	80.000000
20	subject_switch_lexical_results_v1	17	17	0	0.438067	0.107744	3.873529	0.465815	0.391820	0.073640	0.164583	37.500000	6	2.428571	100.000000	0.479234	0.347499	0.090327	0.146060	31.250000	5	2.833333	106.250000
21	subject_switch_lexical_results_v1	24	24	0	0.407635	0.046870	4.201667	0.433382	0.348783	0.058406	0.020500	30.434783	7	3.000000	95.652174	0.448941	0.353937	0.036715	0.060070	43.478261	10	2.181818	82.608696
22	subject_switch_lexical_results_v1	19	19	0	0.388052	0.114344	3.836842	0.476374	0.299730	0.125456	0.103233	50.000000	9	1.900000	83.333333	0.410128	0.310788	0.111286	0.125050	22.222222	4	3.800000	100.000000
23	subject_switch_lexical_results_v1	24	24	0	0.451032	0.070704	3.925417	0.532597	0.344997	0.090231	0.045320	43.478261	10	2.181818	91.304348	0.492516	0.356210	0.091181	0.023900	30.434783	7	3.000000	91.304348
24	subject_switch_lexical_results_v1	19	18	1	0.426713	0.026078	4.061053	0.458749	0.362641	0.016758	0.044717	33.333333	6	2.714286	94.444444	0.441598	0.374615	0.033500	0.000100	22.222222	4	3.800000	100.000000
25	subject_switch_lexical_results_v1	20	20	0	0.423868	0.074253	4.098000	0.488597	0.351948	0.101010	0.044522	47.368421	9	2.000000	78.947368	0.456385	0.332823	0.100736	0.000100	26.315789	5	3.333333	105.263158
26	subject_switch_lexical_results_v1	25	25	0	0.458245	0.072117	3.968000	0.518236	0.387347	0.110692	0.026527	45.833333	11	2.083333	83.333333	0.506055	0.342136	0.074871	0.065429	29.166667	7	3.125000	95.833333
28	subject_switch_lexical_results_v1	26	26	0	0.426748	0.121312	3.745000	0.494773	0.282194	0.152806	0.054387	32.000000	8	2.888889	96.000000	0.471654	0.284545	0.153016	0.020917	24.000000	6	3.714286	96.000000
29	subject_switch_lexical_results_v1	21	21	0	0.421312	0.066155	3.976190	0.475911	0.354579	0.097482	0.027867	45.000000	9	2.100000	85.000000	0.472888	0.358273	0.120200	0.000100	45.000000	9	2.100000	80.000000
30	subject_switch_lexical_results_v1	27	27	0	0.485468	0.095950	3.933704	0.556640	0.371593	0.115694	0.064360	38.461538	10	2.454545	92.307692	0.564670	0.335864	0.116247	0.057611	34.615385	9	2.700000	96.153846
31	subject_switch_lexical_results_v1	20	20	0	0.338123	0.099695	3.803500	0.499902	0.294982	0.250025	0.059607	78.947368	15	1.250000	42.105263	0.374956	0.287478	0.159145	0.017950	42.105263	8	2.222222	84.210526
32	subject_switch_lexical_results_v1	14	14	0	0.434443	0.030300	3.967143	0.503344	0.354059	0.038343	0.020917	46.153846	6	2.000000	76.923077	0.490160	0.345297	0.033562	0.025080	38.461538	5	2.333333	84.615385
33	subject_switch_lexical_results_v1	23	23	0	0.436131	0.072582	3.910000	0.468628	0.379262	0.066400	0.083400	36.363636	8	2.555556	95.454545	0.461390	0.391929	0.090200	0.041750	36.363636	8	2.555556	95.454545
35	subject_switch_lexical_results_v1	23	23	0	0.458463	0.084373	3.986957	0.506131	0.375043	0.098529	0.059600	36.363636	8	2.555556	90.909091	0.485883	0.385340	0.088906	0.072283	27.272727	6	3.285714	100.000000
37	subject_switch_lexical_results_v1	23	21	2	0.374376	0.081559	4.025652	0.464913	0.332125	0.052457	0.095140	68.181818	15	1.437500	54.545455	0.441308	0.294057	0.061183	0.106010	45.454545	10	2.090909	81.818182
38	subject_switch_lexical_results_v1	25	25	0	0.482985	0.080183	3.814800	0.538600	0.405123	0.075336	0.086970	41.666667	10	2.272727	91.666667	0.517472	0.379522	0.080433	0.079433	25.000000	6	3.571429	100.000000
39	subject_switch_lexical_results_v1	17	17	0	0.449351	0.069650	3.642353	0.560035	0.382940	0.051667	0.080440	62.500000	10	1.545455	62.500000	0.491209	0.357263	0.101264	0.000100	31.250000	5	2.833333	100.000000
