Model,k
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.75_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.75_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=1.0_fall=1.0,5
forage_dynamic_troyerextended,2
forage_phonologicalstatic,3
forage_phonologicaldynamicglobal_simdrop,3
forage_phonologicaldynamiclocal_simdrop,3
forage_phonologicaldynamicswitch_simdrop,3
forage_phonologicaldynamicglobal_multimodal_alpha=0.0,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.0,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.0,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.1,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.1,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.1,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.2,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.2,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.2,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.4,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.4,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.4,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.5,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.5,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.5,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.8,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.8,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.8,4
forage_phonologicaldynamicglobal_multimodal_alpha=0.9,4
forage_phonologicaldynamiclocal_multimodal_alpha=0.9,4
forage_phonologicaldynamicswitch_multimodal_alpha=0.9,4
forage_phonologicaldynamicglobal_multimodal_alpha=1.0,4
forage_phonologicaldynamiclocal_multimodal_alpha=1.0,4
forage_phonologicaldynamicswitch_multimodal_alpha=1.0,4
forage_phonologicaldynamicglobal_norms_associative,3
forage_phonologicaldynamiclocal_norms_associative,3
forage_phonologicaldynamicswitch_norms_associative,3
forage_phonologicaldynamicglobal_norms_categorical,3
forage_phonologicaldynamiclocal_norms_categorical,3
forage_phonologicaldynamicswitch_norms_categorical,3
forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,5
forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,5
forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,5
forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,5
forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,5
forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,5
forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,5
forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,5
