"Subject","Fluency_Item","Switch_Value","Switch_Method"
807,"grizzly bear",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
807,"gorilla",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
807,"leopard",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
807,"antelope",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
807,"crocodile",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
807,"ape",2,"troyerextended"
807,"monkey",0,"troyerextended"
807,"orangutan",0,"troyerextended"
807,"salamander",1,"troyerextended"
807,"lizard",0,"troyerextended"
807,"dog",1,"troyerextended"
807,"cat",0,"troyerextended"
807,"hamster",0,"troyerextended"
807,"ferret",0,"troyerextended"
807,"sun bear",1,"troyerextended"
807,"gerbil",1,"troyerextended"
807,"sheep",1,"troyerextended"
807,"fox",0,"troyerextended"
807,"raccoon",1,"troyerextended"
807,"opossum",0,"troyerextended"
807,"goose",1,"troyerextended"
807,"raven",0,"troyerextended"
807,"horse",1,"troyerextended"
807,"dog",1,"troyerextended"
807,"cow",1,"troyerextended"
807,"goat",0,"troyerextended"
807,"polar bear",1,"troyerextended"
807,"grizzly bear",0,"troyerextended"
807,"gorilla",1,"troyerextended"
807,"leopard",0,"troyerextended"
807,"antelope",0,"troyerextended"
807,"crocodile",1,"troyerextended"
808,"dog",2,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"cat",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"pig",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"sheep",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"llama",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"maned wolf",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"wolf",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"coyote",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"whale",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"ostrich",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"giraffe",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"hippo",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"lion",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"tiger",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"bear",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"panda",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"fox",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"turtle",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"squid",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"alligator",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"fish",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"pufferfish",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"shark",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"whale shark",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"piranha",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
808,"dog",2,"troyerextended"
808,"cat",0,"troyerextended"
808,"pig",1,"troyerextended"
808,"sheep",0,"troyerextended"
808,"llama",0,"troyerextended"
808,"maned wolf",0,"troyerextended"
808,"wolf",0,"troyerextended"
808,"coyote",0,"troyerextended"
808,"whale",1,"troyerextended"
808,"ostrich",1,"troyerextended"
808,"giraffe",0,"troyerextended"
808,"hippo",0,"troyerextended"
808,"lion",0,"troyerextended"
808,"tiger",0,"troyerextended"
808,"bear",1,"troyerextended"
808,"panda",0,"troyerextended"
808,"fox",1,"troyerextended"
808,"turtle",1,"troyerextended"
808,"squid",0,"troyerextended"
808,"alligator",0,"troyerextended"
808,"fish",0,"troyerextended"
808,"pufferfish",0,"troyerextended"
808,"shark",0,"troyerextended"
808,"whale shark",0,"troyerextended"
808,"piranha",0,"troyerextended"
809,"dog",2,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"cat",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"hamster",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"gerbil",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"snake",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"lizard",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"frog",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"tarantula",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"ant",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"elephant",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"giraffe",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"lion",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"tiger",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"blue whale",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"shark",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"fish",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"dolphin",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"stingray",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"anteater",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"bird",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"seagull",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"butterfly",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
809,"dog",2,"troyerextended"
809,"cat",0,"troyerextended"
809,"hamster",0,"troyerextended"
809,"gerbil",0,"troyerextended"
809,"snake",0,"troyerextended"
809,"lizard",0,"troyerextended"
809,"frog",0,"troyerextended"
809,"tarantula",1,"troyerextended"
809,"ant",0,"troyerextended"
809,"elephant",1,"troyerextended"
809,"giraffe",0,"troyerextended"
809,"lion",0,"troyerextended"
809,"tiger",0,"troyerextended"
809,"blue whale",1,"troyerextended"
809,"shark",0,"troyerextended"
809,"fish",0,"troyerextended"
809,"dolphin",0,"troyerextended"
809,"stingray",0,"troyerextended"
809,"anteater",1,"troyerextended"
809,"bird",1,"troyerextended"
809,"seagull",0,"troyerextended"
809,"butterfly",1,"troyerextended"
810,"dog",2,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"cat",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"horse",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"deer",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"alligator",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"mouse",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"lion",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"tiger",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
810,"dog",2,"troyerextended"
810,"cat",0,"troyerextended"
810,"horse",1,"troyerextended"
810,"deer",1,"troyerextended"
810,"alligator",1,"troyerextended"
810,"mouse",1,"troyerextended"
810,"lion",1,"troyerextended"
810,"tiger",0,"troyerextended"
811,"pigeon",2,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"sparrow",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"chicken",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"crow",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"dolphin",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"pig",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"cow",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"donkey",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"horse",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"monkey",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"orangutan",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"chimpanzee",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"lion",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"zebra",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"gazelle",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
811,"pigeon",2,"troyerextended"
811,"sparrow",0,"troyerextended"
811,"chicken",0,"troyerextended"
811,"crow",0,"troyerextended"
811,"dolphin",1,"troyerextended"
811,"pig",1,"troyerextended"
811,"cow",0,"troyerextended"
811,"donkey",0,"troyerextended"
811,"horse",0,"troyerextended"
811,"monkey",1,"troyerextended"
811,"orangutan",0,"troyerextended"
811,"chimpanzee",0,"troyerextended"
811,"lion",0,"troyerextended"
811,"zebra",0,"troyerextended"
811,"gazelle",0,"troyerextended"
812,"cat",2,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"dog",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"snake",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"corn snake",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"boa",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"anaconda",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"human",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"manatee",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"sperm whale",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"blue whale",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"killer whale",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"frog",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"treefrog",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"toad",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"horned toad",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"salamander",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"crawdad",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"clownfish",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"guppy",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"goldfish",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"parrot",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"anaconda",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"coral",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"rabbit",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"deer",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
812,"cat",2,"troyerextended"
812,"dog",0,"troyerextended"
812,"snake",0,"troyerextended"
812,"corn snake",0,"troyerextended"
812,"boa",0,"troyerextended"
812,"anaconda",0,"troyerextended"
812,"human",1,"troyerextended"
812,"manatee",1,"troyerextended"
812,"sperm whale",0,"troyerextended"
812,"blue whale",0,"troyerextended"
812,"killer whale",0,"troyerextended"
812,"frog",0,"troyerextended"
812,"treefrog",0,"troyerextended"
812,"toad",0,"troyerextended"
812,"horned toad",0,"troyerextended"
812,"salamander",0,"troyerextended"
812,"crawdad",0,"troyerextended"
812,"clownfish",0,"troyerextended"
812,"guppy",0,"troyerextended"
812,"goldfish",0,"troyerextended"
812,"parrot",0,"troyerextended"
812,"anaconda",1,"troyerextended"
812,"coral",1,"troyerextended"
812,"rabbit",1,"troyerextended"
812,"deer",1,"troyerextended"
813,"dog",2,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
813,"gopher",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
813,"cat",1,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
813,"lion",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
813,"tiger",0,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0"
