Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.25_fall=0.75,8.416666666666666,2.7863755828834145,forage_dynamic,7.855803900767731,2.0422471307490415,4.345293587893939,0.572629077762955,,
delta_rise=0.25_fall=0.75,8.416666666666666,2.7863755828834145,forage_phonologicaldynamicglobal,7.739630862441822,2.025564258933502,4.9859902141000845,0.947574164037462,-0.1014524210404716,0.09662589164937128
delta_rise=0.25_fall=0.75,8.416666666666666,2.7863755828834145,forage_phonologicaldynamiclocal,7.798329575893142,2.0448632791001504,5.505923885246355,1.4559521126873343,-0.21241161652797794,0.3526374268393666
delta_rise=0.25_fall=0.75,8.416666666666666,2.7863755828834145,forage_phonologicaldynamicswitch,7.841509805515237,2.0435244946294935,4.3458299159029865,0.5726621378778405,-0.1502665080143492,0.5640924149273833
delta_rise=0.25_fall=1.0,7.130208333333333,2.5695986956326897,forage_dynamic,7.813192599501273,2.0305342371338644,4.224201600383771,0.5796566365188761,,
delta_rise=0.25_fall=1.0,7.130208333333333,2.5695986956326897,forage_phonologicaldynamicglobal,7.693305598503699,2.014100116994369,4.853503004622407,0.9369150936834443,-0.10207543694698168,0.09606008371839551
delta_rise=0.25_fall=1.0,7.130208333333333,2.5695986956326897,forage_phonologicaldynamiclocal,7.741035503979712,2.03308975087309,5.275003933203364,1.4096439167125827,-0.2073144894985206,0.4063434002798041
delta_rise=0.25_fall=1.0,7.130208333333333,2.5695986956326897,forage_phonologicaldynamicswitch,7.799290783775137,2.0284947591576925,4.2246371100691595,0.5796301159022371,-0.18503779493428152,0.6538446440383687
delta_rise=0.5_fall=0.0,12.338541666666666,3.522986120693243,forage_dynamic,7.970704105896888,2.06673352853297,4.677103566008161,0.5803341901529996,,
delta_rise=0.5_fall=0.0,12.338541666666666,3.522986120693243,forage_phonologicaldynamicglobal,7.8774993426346045,2.0549621020203235,5.260993958817103,0.9271457001681817,-0.08720409053783745,0.09450225933043442
delta_rise=0.5_fall=0.0,12.338541666666666,3.522986120693243,forage_phonologicaldynamiclocal,7.972201217738196,2.0918167141084782,6.427398712280905,2.05303525928115,-0.3539495355886759,0.5874167938162926
delta_rise=0.5_fall=0.0,12.338541666666666,3.522986120693243,forage_phonologicaldynamicswitch,7.958312895143563,2.0691522157197775,4.677499265023702,0.5805209682518117,-0.05308692972700649,0.30004258378160703
delta_rise=0.5_fall=0.25,11.671875,3.471857185672869,forage_dynamic,7.94489991187253,2.0476144212281784,4.637103664596996,0.5873507503535051,,
delta_rise=0.5_fall=0.25,11.671875,3.471857185672869,forage_phonologicaldynamicglobal,7.846006955333148,2.0345493965574573,5.245625703599936,0.9300103512145953,-0.09154056925226257,0.095596245159628
delta_rise=0.5_fall=0.25,11.671875,3.471857185672869,forage_phonologicaldynamiclocal,7.9371049324913265,2.06546880221952,6.249798180165574,1.7903621181079368,-0.32222610759350717,0.5519285510350294
delta_rise=0.5_fall=0.25,11.671875,3.471857185672869,forage_phonologicaldynamicswitch,7.93291716365207,2.0496635072985385,4.637431163319556,0.5874954390951724,-0.05579176027671306,0.3069065750649875
