Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
7.0,,,,,,,,delta_rise=1.0_fall=0.75,12,2.1666666666666665,1.404358295529393
7.0,,,,,,,,delta_rise=1.0_fall=1.0,11,2.3636363636363638,1.610913195151759
7.0,,,,,,,,multimodal_alpha=0.0,4,5.2,3.919183588453085
7.0,,,,,,,,multimodal_alpha=0.1,7,3.25,1.3919410907075054
7.0,,,,,,,,multimodal_alpha=0.2,7,3.25,1.3919410907075054
7.0,,,,,,,,multimodal_alpha=0.30000000000000004,7,3.25,1.3919410907075054
7.0,,,,,,,,multimodal_alpha=0.4,8,2.888888888888889,0.9938079899999066
7.0,,,,,,,,multimodal_alpha=0.5,8,2.888888888888889,0.9938079899999066
7.0,,,,,,,,multimodal_alpha=0.6000000000000001,8,2.888888888888889,0.9938079899999066
7.0,,,,,,,,multimodal_alpha=0.7000000000000001,7,3.25,1.479019945774904
7.0,,,,,,,,multimodal_alpha=0.8,8,2.888888888888889,1.4487116456005886
7.0,,,,,,,,multimodal_alpha=0.9,8,2.888888888888889,1.4487116456005886
7.0,,,,,,,,multimodal_alpha=1.0,9,2.6,1.019803902718557
7.0,,,,,,,,norms_associative,13,2.0,1.4142135623730951
7.0,,,,,,,,norms_categorical,13,2.0,1.4142135623730951
7.0,,,,,,,,simdrop,9,2.6,1.019803902718557
11.0,0.42888954091842874,0.15179813659733604,5.75117148300979,1.2000720982754527,0.20807857142857142,0.11206710337713141,28.0,delta_rise=0.0_fall=0.0,13,2.0,0.7559289460184544
11.0,,,,,,,,delta_rise=0.0_fall=0.25,12,2.1538461538461537,0.7692307692307693
11.0,,,,,,,,delta_rise=0.0_fall=0.5,10,2.5454545454545454,1.3047909176733932
11.0,,,,,,,,delta_rise=0.0_fall=0.75,8,3.111111111111111,2.282515398241571
11.0,,,,,,,,delta_rise=0.0_fall=1.0,8,3.111111111111111,2.282515398241571
11.0,,,,,,,,delta_rise=0.25_fall=0.0,15,1.75,0.75
11.0,,,,,,,,delta_rise=0.25_fall=0.25,14,1.8666666666666667,0.8055363982396381
11.0,,,,,,,,delta_rise=0.25_fall=0.5,11,2.3333333333333335,1.3123346456686351
11.0,,,,,,,,delta_rise=0.25_fall=0.75,9,2.8,2.2715633383201097
11.0,,,,,,,,delta_rise=0.25_fall=1.0,9,2.8,2.2715633383201097
11.0,,,,,,,,delta_rise=0.5_fall=0.0,15,1.75,0.75
11.0,,,,,,,,delta_rise=0.5_fall=0.25,14,1.8666666666666667,0.8055363982396381
11.0,,,,,,,,delta_rise=0.5_fall=0.5,11,2.3333333333333335,1.3123346456686351
11.0,,,,,,,,delta_rise=0.5_fall=0.75,9,2.8,2.2715633383201097
11.0,,,,,,,,delta_rise=0.5_fall=1.0,9,2.8,2.2715633383201097
11.0,,,,,,,,delta_rise=0.75_fall=0.0,15,1.75,0.75
11.0,,,,,,,,delta_rise=0.75_fall=0.25,14,1.8666666666666667,0.8055363982396381
11.0,,,,,,,,delta_rise=0.75_fall=0.5,11,2.3333333333333335,1.3123346456686351
11.0,,,,,,,,delta_rise=0.75_fall=0.75,9,2.8,2.2715633383201097
11.0,,,,,,,,delta_rise=0.75_fall=1.0,9,2.8,2.2715633383201097
11.0,,,,,,,,delta_rise=1.0_fall=0.0,17,1.5555555555555556,0.6849348892187752
11.0,,,,,,,,delta_rise=1.0_fall=0.25,16,1.6470588235294117,0.7624400821656306
11.0,,,,,,,,delta_rise=1.0_fall=0.5,13,2.0,1.3093073414159542
11.0,,,,,,,,delta_rise=1.0_fall=0.75,12,2.1538461538461537,2.069788314934417
11.0,,,,,,,,delta_rise=1.0_fall=1.0,12,2.1538461538461537,2.069788314934417
11.0,,,,,,,,multimodal_alpha=0.0,4,5.6,5.0039984012787215
11.0,,,,,,,,multimodal_alpha=0.1,9,2.8,0.9797958971132712
11.0,,,,,,,,multimodal_alpha=0.2,9,2.8,0.9797958971132712
11.0,,,,,,,,multimodal_alpha=0.30000000000000004,9,2.8,0.9797958971132712
11.0,,,,,,,,multimodal_alpha=0.4,9,2.8,0.9797958971132712
11.0,,,,,,,,multimodal_alpha=0.5,9,2.8,0.9797958971132712
