"Participant","Cluster","Items","total_items","cum_items","perc_items"
"842",11,1,22,20,0.909090909090909
"842",12,1,22,21,0.954545454545455
"842",13,1,22,22,1
"843",1,2,19,2,0.105263157894737
"843",2,1,19,3,0.157894736842105
"843",3,2,19,5,0.263157894736842
"843",4,1,19,6,0.31578947368421
"843",5,6,19,12,0.631578947368421
"843",6,1,19,13,0.68421052631579
"843",7,3,19,16,0.842105263157895
"843",8,2,19,18,0.947368421052632
"843",9,1,19,19,1
"844",1,2,28,2,0.0714285714285714
"844",2,1,28,3,0.107142857142857
"844",3,1,28,4,0.142857142857143
"844",4,5,28,9,0.321428571428571
"844",5,1,28,10,0.357142857142857
"844",6,1,28,11,0.392857142857143
"844",7,5,28,16,0.571428571428571
"844",8,1,28,17,0.607142857142857
"844",9,8,28,25,0.892857142857143
"844",10,1,28,26,0.928571428571429
"844",11,2,28,28,1
"845",1,2,14,2,0.142857142857143
"845",2,1,14,3,0.214285714285714
"845",3,1,14,4,0.285714285714286
"845",4,3,14,7,0.5
"845",5,1,14,8,0.571428571428571
"845",6,1,14,9,0.642857142857143
"845",7,1,14,10,0.714285714285714
"845",8,1,14,11,0.785714285714286
"845",9,1,14,12,0.857142857142857
"845",10,1,14,13,0.928571428571429
"845",11,1,14,14,1
"846",1,5,30,5,0.166666666666667
"846",2,2,30,7,0.233333333333333
"846",3,2,30,9,0.3
"846",4,1,30,10,0.333333333333333
"846",5,1,30,11,0.366666666666667
"846",6,13,30,24,0.8
"846",7,2,30,26,0.866666666666667
"846",8,1,30,27,0.9
"846",9,1,30,28,0.933333333333333
"846",10,1,30,29,0.966666666666667
"846",11,1,30,30,1
"847",1,1,26,1,0.0384615384615385
"847",2,1,26,2,0.0769230769230769
"847",3,2,26,4,0.153846153846154
"847",4,2,26,6,0.230769230769231
"847",5,3,26,9,0.346153846153846
"847",6,3,26,12,0.461538461538462
"847",7,1,26,13,0.5
"847",8,2,26,15,0.576923076923077
"847",9,2,26,17,0.653846153846154
"847",10,5,26,22,0.846153846153846
"847",11,2,26,24,0.923076923076923
"847",12,2,26,26,1
"848",1,1,31,1,0.032258064516129
"848",2,1,31,2,0.0645161290322581
"848",3,2,31,4,0.129032258064516
"848",4,1,31,5,0.161290322580645
"848",5,3,31,8,0.258064516129032
"848",6,4,31,12,0.387096774193548
"848",7,1,31,13,0.419354838709677
