Category,Item
reptilesAmphibians,sidewinder snake
reptilesAmphibians,skink
reptilesAmphibians,snake
reptilesAmphibians,snapping turtle
reptilesAmphibians,stegosaurus
reptilesAmphibians,tadpole
reptilesAmphibians,terrapin
reptilesAmphibians,toad
reptilesAmphibians,tortoise
reptilesAmphibians,tree frog
reptilesAmphibians,triceratops
reptilesAmphibians,turtle
reptilesAmphibians,tyrannosaurus rex
reptilesAmphibians,velociraptor
reptilesAmphibians,viper
reptilesAmphibians,water moccasin
reptilesAmphibians,water monitor
reptilesAmphibians,water snake
rodentsRabbits,agouti
rodentsRabbits,beaver
rodentsRabbits,black squirrel
rodentsRabbits,bunny
rodentsRabbits,capybara
rodentsRabbits,cavy
rodentsRabbits,chinchilla
rodentsRabbits,chipmunk
rodentsRabbits,common degu
rodentsRabbits,coney
rodentsRabbits,dormouse
rodentsRabbits,flying squirrel
rodentsRabbits,gerbil
rodentsRabbits,golden marmot
rodentsRabbits,gopher
rodentsRabbits,groundhog
rodentsRabbits,guinea pig
rodentsRabbits,hamster
rodentsRabbits,hare
rodentsRabbits,jackrabbit
rodentsRabbits,lemming
rodentsRabbits,marmot
rodentsRabbits,mouse
rodentsRabbits,muskrat
rodentsRabbits,naked mole rat
rodentsRabbits,nutria
rodentsRabbits,pika
rodentsRabbits,porcupine
rodentsRabbits,prairie dog
rodentsRabbits,rabbit
rodentsRabbits,rat
rodentsRabbits,rodent
rodentsRabbits,snowshoe hare
rodentsRabbits,squirrel
rodentsRabbits,vole
rodentsRabbits,woodchuck
southAmerica,agouti
southAmerica,alpaca
southAmerica,anaconda
southAmerica,anteater
southAmerica,armadillo
southAmerica,capuchin monkey
southAmerica,capybara
southAmerica,cavy
southAmerica,chinchilla
southAmerica,common degu
southAmerica,corydoras
southAmerica,cougar
southAmerica,electric eel
southAmerica,grackle
southAmerica,great horned owl
southAmerica,greater yellowlegs
southAmerica,guinea pig
southAmerica,howler monkey
southAmerica,jaguar
southAmerica,killdeer
southAmerica,kinkajou
southAmerica,lesser yellowlegs
southAmerica,llama
southAmerica,maned wolf
southAmerica,marmoset
southAmerica,mountain lion
southAmerica,nutria
southAmerica,ocelot
southAmerica,opossum
southAmerica,piranha
southAmerica,pleco
southAmerica,poison dart frog
southAmerica,possum
southAmerica,puma
southAmerica,pygmy marmoset
southAmerica,rhea
southAmerica,saki monkey
southAmerica,sloth
southAmerica,spider monkey
southAmerica,tapir
southAmerica,three toed sloth
southAmerica,titi monkey
southAmerica,toucan
southAmerica,vicuna
water,african penguin
water,albatross
water,alligator
water,amberjack
water,american toad
water,amphioxus
water,anchovy
water,anemone
water,angelfish
water,anglerfish
water,arrowhead shark
water,auk
water,axolotl
water,barracuda
water,basking shark
water,bass
water,beaver
water,beluga whale
water,betta fish
water,bigfin squid
water,blackfish
water,blacktip reef shark
water,blacktip shark
water,blobfish
water,blowfish
water,blue footed booby
water,blue ringed octopus
water,blue whale
water,bluefin tuna
water,bluefish
water,bluegill
water,booby
water,boto
water,bottlenose dolphin
water,box jellyfish
water,brine shrimp
water,bull shark
water,canada goose
water,carp
water,catfish
water,chinese crocodile lizard
water,chinese water dragon
water,clam
water,clownfish
water,cod
water,colossal squid
water,conch
water,coral
water,corydoras
water,cottonmouth snake
water,cowry
water,crab
water,crappie
water,crawdad
water,crawfish
water,crayfish
water,croaker
water,crocodile
water,crustacean
water,cuttlefish
water,deep sea fish
water,dogfish
water,dolphin
water,drake
water,duck
water,duckling
water,eastern newt
water,eel
water,egret
water,electric eel
water,elephant seal
water,emperor penguin
water,fairy tern
water,fish
