word,distance_to_centroid,distance_to_domain,distance_to_first_item,ID
lion,0.7529555910800224,1.058551939504521,1.051988795264514,15
giraffe,0.8314935453043343,1.1884427465885492,1.1745012157564525,15
cheetah,0.7857557915640737,1.1395872374057958,1.10568407721678,15
mouse,0.77308099466053,1.1048159339711667,0.9267276706433802,15
deer,0.7821424096090712,1.0670022123976246,1.136588276312349,15
wolf,0.7513181326811691,1.0770628836108005,1.0534889515561048,15
rabbit,0.7201418886835101,1.0467123341550726,0.9860531770815246,15
cow,0.7550544263904125,1.0393942981466475,1.058624590599432,15
pig,0.7615410156042296,1.1056965981978975,1.025668791385112,15
horse,0.6893366861450915,0.965888696108949,0.9580666073422256,15
whale,0.8029676157749712,1.1430481592310042,1.1023516351710632,15
panda,0.8168793266744673,1.149531493643352,1.1332314848529572,15
raccoon,0.834573012770288,1.1692551007961864,1.1776170962032566,15
bear,0.7656566179871334,1.123889483266586,1.0535591492122485,15
rat,0.7221738080056243,1.0799510283288585,0.9725066279320393,15
zebra,0.7970948408301265,1.1176582885897683,0.0,16
lion,0.7645330068976033,1.058551939504521,1.0515769528469654,16
tiger,0.7748429997598479,1.1369978991343088,1.130216133565804,16
bear,0.7904222850602026,1.123889483266586,1.1867705786900442,16
shrimp,0.853045294159057,1.2163904981538947,1.1550155087594185,16
cod,0.8862908133629008,1.1811573284760393,1.2679443043668248,16
cat,0.7206466718171028,1.0192089061953933,1.1469297134943308,16
dog,0.7071766909880813,0.9269403591208584,1.1617665161541142,16
parrot,0.7743271800558685,1.1556004162000015,1.1313763671944612,16
fish,0.7097791376670072,0.9885987955423701,1.1298246135752799,16
hamster,0.7773517249664738,1.090381199521366,1.171678122019301,16
guinea pig,0.8014786441956163,1.0762220833286011,1.1232437186640438,16
horse,0.7053896377642512,0.965888696108949,1.0773014542222872,16
monkey,0.7341641454310808,1.0776578204652905,1.0371862293590313,16
gorilla,0.7766163299492276,1.1124524595952483,1.072420845972201,16
bird,0.7383301142472813,1.0737931483409942,1.1662335614780412,16
eagle,0.8070831730372144,1.1734411780010299,1.15043432898396,16
shark,0.7577430138134226,1.1805122403871113,1.104782467275103,16
whale,0.7899825801264061,1.1430481592310042,1.1739463954305616,16
frog,0.7607231401496359,1.0931126652960574,1.1386836061518757,16
salamander,0.8137764216326138,1.1887950155232851,1.147883894071587,16
spider,0.7886349451497531,1.1726798248185308,1.153444203345464,16
dog,0.7578441565837595,0.9269403591208584,0.0,17
cat,0.726445353180769,1.0192089061953933,0.8674575951584943,17
fish,0.779762940590639,0.9885987955423701,0.9917293707513966,17
snake,0.7933475172065834,1.1086529518216863,1.0457062768666496,17
frog,0.7947320272852297,1.0931126652960574,1.0501031932012101,17
bird,0.7273585867262055,1.0737931483409942,1.0100950735950691,17
monkey,0.750902507222356,1.0776578204652905,1.0239431717162413,17
giraffe,0.7696722876656624,1.1884427465885492,1.1766182122444033,17
elephant,0.7051481957932766,1.0461949098088636,1.116848090808271,17
zebra,0.7673392950501398,1.1176582885897683,1.1617665161541142,17
horse,0.7161158450904223,0.965888696108949,0.8992994905391918,17
rhino,0.7703458708380942,1.1848310376808922,1.2113231152707005,17
peacock,0.7317603100488489,1.168361254856803,1.1922444114602302,17
ostrich,0.7742321008257012,1.2283689367341117,1.2319197942987306,17
flamingo,0.7890515155223764,1.200739366653492,1.168386654484427,17
lion,0.7405697265697507,1.058551939504521,1.0955525339606704,17
cheetah,0.7303162315296299,1.1395872374057958,1.1469516023240474,17
panther,0.7323999520913806,1.1254029329238397,1.1214449503624764,17
bobcat,0.8236221733965904,1.2051783605583608,1.2161038254021095,17
dog,0.7578441565837595,0.9269403591208584,0.0,18
cat,0.726445353180769,1.0192089061953933,0.8674575951584943,18
fish,0.779762940590639,0.9885987955423701,0.9917293707513966,18
snake,0.7933475172065834,1.1086529518216863,1.0457062768666496,18
frog,0.7947320272852297,1.0931126652960574,1.0501031932012101,18
bird,0.7273585867262055,1.0737931483409942,1.0100950735950691,18
monkey,0.750902507222356,1.0776578204652905,1.0239431717162413,18
giraffe,0.7696722876656624,1.1884427465885492,1.1766182122444033,18
